source_id,province,year,subject_type,batch,school_name,major_name,score,rank,quota,source_file,group_code,subject_requirement,admitted_count,average_score,average_rank,equivalent_score,school_yxid,raw_rank
zyfz:2025:93589:4ace027c28e32b96,四川,2025,历史类,本科批B段,清华大学,专业组101（选科：不限）,671,99,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,2,673,小于100,964,93589,小于100
zyfz:2024:93589:34a023e68054c639,四川,2024,历史类,本科批B段,清华大学,专业组101（选科：不限）,646,99,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,3,648,小于100,966,93589,小于100
zyfz:2023:93589:4d626b8588167bb7,四川,2023,历史类,本科批B段,清华大学,专业组101（选科：不限）,647,99,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,3,649,小于100,968,93589,小于100
zyfz:2025:93587:594c2a1b59114898,四川,2025,历史类,本科批B段,北京大学,专业组101（选科：不限）,663,99,27,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,28,668,小于100,956,93587,小于100
zyfz:2024:93587:d425224e03e8ecc6,四川,2024,历史类,本科批B段,北京大学,专业组101（选科：不限）,639,99,16,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,21,646,小于100,961,93587,小于100
zyfz:2023:93587:6ccba9faba99a246,四川,2023,历史类,本科批B段,北京大学,专业组101（选科：不限）,639,99,17,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,19,645,小于100,963,93587,小于100
zyfz:2025:93641:1d7cf7c9349d0c0a,四川,2025,历史类,本科批B段,上海交通大学,专业组106（选科：不限）,658,99,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,106,不限,2,658,小于100,938,93641,小于100
zyfz:2025:93588:de359b63734248e5,四川,2025,历史类,本科批B段,中国人民大学,专业组101（选科：不限）,653,136,32,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,32,657,小于100,922,93588,136
zyfz:2024:93588:a610ec8df59c413f,四川,2024,历史类,本科批B段,中国人民大学,专业组101（选科：不限）,630,109,26,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,28,633,小于100,931,93588,109
zyfz:2023:93588:2833c39411a9cc4a,四川,2023,历史类,本科批B段,中国人民大学,专业组101（选科：不限）,626,117,25,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,28,631,65,929,93588,117
zyfz:2025:93638:71ef28a11d741335,四川,2025,历史类,本科批B段,复旦大学,专业组101（选科：不限）,653,136,19,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,20,658,小于100,922,93638,136
