source_id,province,year,subject_type,batch,school_name,major_name,score,rank,quota,source_file,group_code,subject_requirement,admitted_count,average_score,average_rank,equivalent_score,school_yxid,raw_rank
zyfz:2025:93492:178b775d0834aeaf,四川,2025,历史类,本科提前批A段,中国人民公安大学,专业组101（选科：思想政治）,529,30453,15,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,思想政治,15,615,2397,713,93492,30453
zyfz:2024:93492:e37ed9c389eb6428,四川,2024,历史类,本科提前批A段,中国人民公安大学,专业组101（选科：思想政治）,594,1851,10,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,思想政治,10,601,1247,844,93492,1851
zyfz:2023:93492:8a67f96fde2eea75,四川,2023,历史类,本科提前批A段,中国人民公安大学,专业组101（选科：思想政治）,584,2772,9,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,思想政治,9,591,1884,830,93492,2772
zyfz:2025:93493:40ee78a5aeb043e8,四川,2025,历史类,本科提前批A段,中国人民公安大学,专业组102（选科：思想政治）,645,316,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,思想政治,2,648,240,898,93493,316
zyfz:2024:93493:4f0fece6443d469e,四川,2024,历史类,本科提前批A段,中国人民公安大学,专业组102（选科：思想政治）,617,398,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,思想政治,2,618,372,894,93493,398
zyfz:2023:93493:8c42847118985c9a,四川,2023,历史类,本科提前批A段,中国人民公安大学,专业组102（选科：思想政治）,589,2147,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,思想政治,2,601,1044,839,93493,2147
zyfz:2025:93516:48c4db6687c42706,四川,2025,历史类,本科提前批A段,国防科技大学,专业组101（选科：思想政治）,630,1017,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,思想政治,2,633,828,862,93516,1017
zyfz:2024:93516:0eefb9d84a9ff776,四川,2024,历史类,本科提前批A段,国防科技大学,专业组101（选科：思想政治）,628,142,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,思想政治,1,628,142,923,93516,142
zyfz:2023:93516:0141fc597d2f9a0f,四川,2023,历史类,本科提前批A段,国防科技大学,专业组101（选科：思想政治）,594,1616,3,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,思想政治,3,604,867,849,93516,1616
zyfz:2025:93494:adeba65ea5e34c4d,四川,2025,历史类,本科提前批A段,国际关系学院,专业组101（选科：不限）,614,2521,4,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,4,616,2301,830,93494,2521
zyfz:2025:93495:2dffd74929a3a0d2,四川,2025,历史类,本科提前批A段,国际关系学院,专业组102（选科：思想政治）,628,1146,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,思想政治,1,628,1146,858,93495,1146
zyfz:2025:93496:4e2f9cf80d3d16bb,四川,2025,历史类,本科提前批A段,国际关系学院,专业组103（选科：不限）,613,2658,4,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,103,不限,4,616,2301,828,93496,2658
