source_id,province,year,subject_type,batch,school_name,major_name,score,rank,quota,source_file,group_code,subject_requirement,admitted_count,average_score,average_rank,equivalent_score,school_yxid,raw_rank
zyfz:2025:93525:ab2449fd966352d5,四川,2025,历史类,本科提前批B段,清华大学,专业组101（选科：思想政治）,663,99,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,思想政治,1,663,小于100,956,93525,小于100
zyfz:2025:93526:1132433f7256d6cb,四川,2025,历史类,本科提前批B段,清华大学,专业组105（选科：不限）,660,99,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,105,不限,1,660,小于100,946,93526,小于100
zyfz:2025:93521:dd82fba5180cfe09,四川,2025,历史类,本科提前批B段,北京大学,专业组101（选科：不限）,659,99,3,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,3,661,小于100,942,93521,小于100
zyfz:2025:93522:109882e2f954fd53,四川,2025,历史类,本科提前批B段,北京大学,专业组102（选科：思想政治）,663,99,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,思想政治,1,663,小于100,956,93522,小于100
zyfz:2025:93538:bd94cac862df0498,四川,2025,历史类,本科提前批B段,复旦大学,专业组101（选科：不限）,649,214,3,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,3,650,187,910,93538,214
zyfz:2025:93539:8cdf3fc041102940,四川,2025,历史类,本科提前批B段,复旦大学,专业组102（选科：思想政治）,653,136,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,思想政治,2,654,118,922,93539,136
zyfz:2025:93523:5e1f97c2329d5763,四川,2025,历史类,本科提前批B段,中国人民大学,专业组101（选科：不限）,651,167,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,2,652,154,917,93523,167
zyfz:2025:93524:00a3b4d94260b472,四川,2025,历史类,本科提前批B段,中国人民大学,专业组102（选科：思想政治）,652,154,4,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,思想政治,4,653,136,919,93524,154
zyfz:2025:93545:c94caf896ff28391,四川,2025,历史类,本科提前批B段,南京大学,专业组101（选科：思想政治）,649,214,3,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,思想政治,3,649,214,910,93545,214
zyfz:2025:93546:f039418ed78a5b4f,四川,2025,历史类,本科提前批B段,浙江大学,专业组101（选科：不限）,647,262,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,2,648,240,904,93546,262
zyfz:2025:93570:4c884624b21683ae,四川,2025,历史类,本科提前批B段,北京师范大学（珠海校区）,专业组111（选科：不限）,645,316,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,111,不限,2,645,316,898,93570,316
zyfz:2025:93572:78ee3370acade82f,四川,2025,历史类,本科提前批B段,北京师范大学（珠海校区）,专业组121（选科：不限）,612,2788,26,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,121,不限,26,618,2074,826,93572,2788
zyfz:2025:93573:b001648587dc3baf,四川,2025,历史类,本科提前批B段,北京师范大学（珠海校区）,专业组122（选科：思想政治）,611,2912,10,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,122,思想政治,10,613,2658,825,93573,2912
zyfz:2025:93549:3ca668b23affffc4,四川,2025,历史类,本科提前批B段,武汉大学,专业组101（选科：思想政治）,643,384,4,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,思想政治,4,645,316,893,93549,384
zyfz:2025:93541:0d12ee91e676eef1,四川,2025,历史类,本科提前批B段,华东师范大学,专业组101（选科：不限）,642,415,7,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,7,644,347,890,93541,415
zyfz:2025:93542:8d4f6f8ee410568e,四川,2025,历史类,本科提前批B段,华东师范大学,专业组102（选科：思想政治）,640,498,3,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,思想政治,3,641,452,885,93542,498
zyfz:2025:93543:ce6b27d9de73a0ac,四川,2025,历史类,本科提前批B段,华东师范大学,专业组104（选科：不限）,612,2788,7,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,104,不限,7,617,2198,826,93543,2788
zyfz:2025:93576:118bd416551162e0,四川,2025,历史类,本科提前批B段,上海海关学院,专业组101（选科：不限）,641,452,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,1,641,452,888,93576,452
zyfz:2025:93577:48c18670a1b671d2,四川,2025,历史类,本科提前批B段,上海海关学院,专业组102（选科：不限）,639,538,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,不限,1,639,538,882,93577,538
zyfz:2025:93527:88b5d00c07fefebe,四川,2025,历史类,本科提前批B段,北京师范大学,专业组101（选科：不限）,641,452,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,2,642,415,888,93527,452
zyfz:2025:93528:13d07fe482aed8fa,四川,2025,历史类,本科提前批B段,北京师范大学,专业组133（选科：不限）,630,1017,5,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,133,不限,5,634,771,862,93528,1017
zyfz:2025:93532:0e8b0c81e6f5aacb,四川,2025,历史类,本科提前批B段,南开大学,专业组104（选科：思想政治）,641,452,3,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,104,思想政治,3,642,415,888,93532,452
zyfz:2025:93533:2f0f6603f52ef061,四川,2025,历史类,本科提前批B段,南开大学,专业组105（选科：不限）,640,498,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,105,不限,2,641,452,885,93533,498
zyfz:2025:93540:4f79df7f2d47e080,四川,2025,历史类,本科提前批B段,同济大学,专业组111（选科：思想政治）,639,538,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,111,思想政治,2,640,498,882,93540,538
