source_id,province,year,subject_type,batch,school_name,major_name,score,rank,quota,source_file,group_code,subject_requirement,admitted_count,average_score,average_rank,equivalent_score,school_yxid,raw_rank
zyfz:2025:95578:04041c0f9998e9c6,四川,2025,历史类,专科提前批,四川警察学院,专业组101（选科：不限）,542,23750,8,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,8,550,20096,726,95578,23750
zyfz:2024:95578:c8157198f4befbb1,四川,2024,历史类,专科提前批,四川警察学院,专业组101（选科：不限）,448,84169,8,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,8,522,24218,640,95578,84169
zyfz:2023:95578:f5af60a875813ee9,四川,2023,历史类,专科提前批,四川警察学院,专业组101（选科：不限）,529,19827,8,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,8,535,16825,747,95578,19827
zyfz:2025:95581:cb43e4fc9a4aab9d,四川,2025,历史类,专科提前批,西藏警官高等专科学校,专业组101（选科：思想政治）,536,26727,4,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,思想政治,4,545,22376,719,95581,26727
zyfz:2024:95581:38f4afe25a1814fe,四川,2024,历史类,专科提前批,西藏警官高等专科学校,专业组101（选科：思想政治）,469,66346,7,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,思想政治,7,502,38040,662,95581,66346
zyfz:2023:95581:0d4b011e9d0288cf,四川,2023,历史类,专科提前批,西藏警官高等专科学校,专业组101（选科：思想政治）,500,39245,7,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,思想政治,7,509,32293,707,95581,39245
zyfz:2025:95577:2b1148188103d8bb,四川,2025,历史类,专科提前批,重庆航天职业技术学院,专业组101（选科：不限）,495,51298,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,2,497,49965,673,95577,51298
zyfz:2024:95577:45c59901d281aa9a,四川,2024,历史类,专科提前批,重庆航天职业技术学院,专业组101（选科：不限）,438,92393,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,2,439,91567,630,95577,92393
zyfz:2023:95577:9dcbde783270bd1d,四川,2023,历史类,专科提前批,重庆航天职业技术学院,专业组101（选科：不限）,398,126205,7,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,7,418,110436,601,95577,126205
zyfz:2025:95552:c5b6c695cd2cd40f,四川,2025,历史类,专科提前批,南京信息职业技术学院,专业组101（选科：不限）,482,60241,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,1,482,60241,660,95552,60241
zyfz:2024:95552:e331b339fab633fb,四川,2024,历史类,专科提前批,南京信息职业技术学院,专业组101（选科：不限）,447,85022,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,2,447,85022,639,95552,85022
zyfz:2025:95553:0100c198214bfe37,四川,2025,历史类,专科提前批,南京信息职业技术学院,专业组103（选科：不限）,495,51298,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,103,不限,1,495,51298,673,95553,51298
zyfz:2024:95553:f1b0d8c64a1db016,四川,2024,历史类,专科提前批,南京信息职业技术学院,专业组103（选科：不限）,404,118778,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,103,不限,2,421,105746,599,95553,118778
zyfz:2025:95579:dabe241a16778b99,四川,2025,历史类,专科提前批,四川司法警官职业学院,专业组101（选科：不限）,429,96561,350,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,350,462,74131,610,95579,96561
zyfz:2024:95579:3e01c8b0eb09de20,四川,2024,历史类,专科提前批,四川司法警官职业学院,专业组101（选科：不限）,406,117337,439,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,439,442,89146,601,95579,117337
zyfz:2023:95579:e864217d91df38e8,四川,2023,历史类,专科提前批,四川司法警官职业学院,专业组101（选科：不限）,390,132560,439,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,439,429,101594,594,95579,132560
zyfz:2025:95580:1de1b970a699b0a5,四川,2025,历史类,专科提前批,四川司法警官职业学院,专业组102（选科：不限）,487,56697,110,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,不限,110,510,41539,665,95580,56697
zyfz:2024:95580:ff2871ab2e9338ff,四川,2024,历史类,专科提前批,四川司法警官职业学院,专业组102（选科：不限）,466,69041,128,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,不限,128,482,54817,659,95580,69041
zyfz:2023:95580:cfd2ab0279da7e0e,四川,2023,历史类,专科提前批,四川司法警官职业学院,专业组102（选科：不限）,459,76084,128,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,不限,128,472,64186,657,95580,76084
zyfz:2025:95570:721074a4c09f4286,四川,2025,历史类,专科提前批,长沙航空职业技术学院,专业组103（选科：不限）,475,65102,11,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,103,不限,11,496,50651,653,95570,65102
zyfz:2024:95570:0bb60207aaf8d0c3,四川,2024,历史类,专科提前批,长沙航空职业技术学院,专业组103（选科：不限）,419,107325,13,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,103,不限,13,448,84169,613,95570,107325
zyfz:2023:95570:1fd9629c4fabcaf3,四川,2023,历史类,专科提前批,长沙航空职业技术学院,专业组103（选科：不限）,439,93478,5,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,103,不限,5,455,79671,637,95570,93478
zyfz:2025:95575:6a0c6dfe736eab40,四川,2025,历史类,专科提前批,重庆医药高等专科学校,专业组101（选科：不限）,474,65764,11,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,11,486,57431,652,95575,65764
