source_id,province,year,subject_type,batch,school_name,major_name,score,rank,quota,source_file,group_code,subject_requirement,admitted_count,average_score,average_rank,equivalent_score,school_yxid,raw_rank
zyfz:2025:96448:f8cd3c3d7a05d7d0,四川,2025,历史类,专科批,重庆医药高等专科学校,专业组101（选科：不限）,523,33891,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,2,530,29871,703,96448,33891
zyfz:2024:96448:93b3d91a5fc9e6ad,四川,2024,历史类,专科批,重庆医药高等专科学校,专业组101（选科：不限）,517,27305,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,2,519,26048,725,96448,27305
zyfz:2023:96448:353a3725ea3d6d27,四川,2023,历史类,专科批,重庆医药高等专科学校,专业组101（选科：不限）,467,68790,44,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,44,479,57730,666,96448,68790
zyfz:2025:96450:4277904e691602f1,四川,2025,历史类,专科批,重庆医药高等专科学校,专业组104（选科：不限）,522,34457,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,104,不限,1,522,34457,702,96450,34457
zyfz:2024:96450:4b269a6d6bead5f4,四川,2024,历史类,专科批,重庆医药高等专科学校,专业组104（选科：不限）,505,35743,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,104,不限,1,505,35743,708,96450,35743
zyfz:2023:96450:535ebecfde021da2,四川,2023,历史类,专科批,重庆医药高等专科学校,专业组104（选科：不限）,473,63251,21,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,104,不限,21,482,54985,673,96450,63251
zyfz:2025:96451:d626447d857ce8f1,四川,2025,历史类,专科批,重庆医药高等专科学校,专业组105（选科：不限）,525,32698,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,105,不限,1,525,32698,706,96451,32698
zyfz:2024:96451:b15f306c85031eb7,四川,2024,历史类,专科批,重庆医药高等专科学校,专业组105（选科：不限）,503,37298,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,105,不限,1,503,37298,705,96451,37298
zyfz:2023:96451:8a4902d04bb5e88e,四川,2023,历史类,专科批,重庆医药高等专科学校,专业组105（选科：不限）,471,65116,18,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,105,不限,18,481,55888,670,96451,65116
zyfz:2025:95923:301eb2bcdbbf9347,四川,2025,历史类,专科批,杭州职业技术大学,专业组101（选科：不限）,521,35017,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,1,521,35017,701,95923,35017
zyfz:2024:95923:05dd9fa500f3dc10,四川,2024,历史类,专科批,杭州职业技术大学,专业组101（选科：不限）,481,55713,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,2,482,54817,677,95923,55713
zyfz:2023:95923:3a2ae142238c5a69,四川,2023,历史类,专科批,杭州职业技术大学,专业组101（选科：不限）,463,72430,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,1,463,72430,661,95923,72430
zyfz:2025:96478:6c089c7fbbde42eb,四川,2025,历史类,专科批,重庆城市管理职业大学,专业组101（选科：不限）,517,37405,3,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,3,524,33264,697,96478,37405
zyfz:2023:96478:20c1af6c93df7e9e,四川,2023,历史类,专科批,重庆城市管理职业大学,专业组101（选科：不限）,464,71555,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,13,473,63251,662,96478,71555
zyfz:2025:96279:6bf140f3ed69f255,四川,2025,历史类,专科批,长沙卫生职业学院,专业组101（选科：不限）,477,63722,13,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,13,489,55309,655,96279,63722
zyfz:2024:96279:3db4bc6bf993eba8,四川,2024,历史类,专科批,长沙卫生职业学院,专业组101（选科：不限）,462,72470,11,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,11,469,66346,655,96279,72470
zyfz:2023:96279:542b2b3783c4c6cf,四川,2023,历史类,专科批,长沙卫生职业学院,专业组101（选科：不限）,451,83215,11,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,11,455,79671,649,96279,83215
zyfz:2025:96280:cd34edc11d638693,四川,2025,历史类,专科批,长沙卫生职业学院,专业组102（选科：不限）,477,63722,5,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,不限,5,497,49965,655,96280,63722
zyfz:2024:96280:376f475452ef03b2,四川,2024,历史类,专科批,长沙卫生职业学院,专业组102（选科：不限）,464,70753,5,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,不限,5,467,68160,657,96280,70753
zyfz:2023:96280:8e5fc89cc58866b3,四川,2023,历史类,专科批,长沙卫生职业学院,专业组102（选科：不限）,454,80540,5,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,不限,5,457,77874,652,96280,80540
zyfz:2025:96281:572da3acd9cc9c39,四川,2025,历史类,专科批,长沙卫生职业学院,专业组103（选科：不限）,516,37999,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,103,不限,2,518,36792,696,96281,37999
zyfz:2024:96281:d4a3e975e762336c,四川,2024,历史类,专科批,长沙卫生职业学院,专业组103（选科：不限）,488,49565,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,103,不限,2,489,48692,686,96281,49565
zyfz:2023:96281:eb2033f70fa2e9e9,四川,2023,历史类,专科批,长沙卫生职业学院,专业组103（选科：不限）,465,70663,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,103,不限,2,473,63251,663,96281,70663
zyfz:2025:95760:487e2e0e5741a8be,四川,2025,历史类,专科批,白城医学高等专科学校,专业组101（选科：不限）,515,38597,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,1,515,38597,695,95760,38597
zyfz:2024:95760:cd2ede43e107b6c3,四川,2024,历史类,专科批,白城医学高等专科学校,专业组101（选科：不限）,483,53924,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,1,483,53924,679,95760,53924
zyfz:2023:95760:c07f69baa8a834b8,四川,2023,历史类,专科批,白城医学高等专科学校,专业组101（选科：不限）,473,63251,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,1,473,63251,673,95760,63251
zyfz:2025:96325:0c2576cdef1784e7,四川,2025,历史类,专科批,深圳职业技术大学,专业组101（选科：不限）,514,39198,16,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,16,518,36792,693,96325,39198
zyfz:2024:96325:174174c961df9487,四川,2024,历史类,专科批,深圳职业技术大学,专业组101（选科：不限）,490,47829,14,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,15,496,42811,688,96325,47829
zyfz:2023:96325:b1eda837ae2bcb1e,四川,2023,历史类,专科批,深圳职业技术大学,专业组101（选科：不限）,489,48638,11,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,10,497,41737,692,96325,48638
zyfz:2025:96539:0ce3f3d384035b03,四川,2025,历史类,专科批,四川交通职业技术大学,专业组201（选科：不限）,511,40955,28,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,201,不限,28,516,37999,690,96539,40955
zyfz:2024:96539:348c5b2ced017127,四川,2024,历史类,专科批,四川交通职业技术大学,专业组201（选科：不限）,475,61041,26,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,201,不限,26,482,54817,669,96539,61041
zyfz:2023:96539:7fe73259af7ad483,四川,2023,历史类,专科批,四川交通职业技术大学,专业组201（选科：不限）,469,66943,41,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,201,不限,41,480,56827,668,96539,66943
zyfz:2025:96696:acdf2985cf96d671,四川,2025,历史类,专科批,丽江师范学院,专业组101（选科：不限）,484,58853,5,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,5,488,56035,662,96696,58853
zyfz:2024:96696:f20aecbc5b34e15b,四川,2024,历史类,专科批,丽江师范学院,专业组101（选科：不限）,464,70753,5,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,7,475,61041,657,96696,70753
zyfz:2023:96696:12b5d303cbd4351f,四川,2023,历史类,专科批,丽江师范学院,专业组101（选科：不限）,459,76084,5,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,5,466,69718,657,96696,76084
zyfz:2025:96697:1c8fe0b33d2c33f7,四川,2025,历史类,专科批,丽江师范学院,专业组102（选科：思想政治）,508,42766,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,思想政治,2,516,37999,687,96697,42766
zyfz:2024:96697:c50e02c72006bb86,四川,2024,历史类,专科批,丽江师范学院,专业组102（选科：思想政治）,463,71598,4,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,思想政治,4,466,69041,656,96697,71598
zyfz:2023:96697:7d157c321c25f57e,四川,2023,历史类,专科批,丽江师范学院,专业组102（选科：思想政治）,460,75185,4,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,思想政治,4,464,71555,658,96697,75185
zyfz:2025:95592:1e72d7bbeaa32b7f,四川,2025,历史类,专科批,天津师范大学,专业组119（选科：不限）,508,42766,4,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,119,不限,4,509,42155,687,95592,42766
zyfz:2024:95592:9f650a65fa4ead7a,四川,2024,历史类,专科批,天津师范大学,专业组119（选科：不限）,490,47829,4,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,119,不限,4,497,41989,688,95592,47829
zyfz:2023:95592:90a67cef543892e4,四川,2023,历史类,专科批,天津师范大学,专业组119（选科：不限）,475,61365,12,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,119,不限,12,485,52218,675,95592,61365
zyfz:2025:95890:39c7b8b9c3aca37f,四川,2025,历史类,专科批,宁波卫生职业技术学院,专业组102（选科：不限）,504,45336,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,不限,1,504,45336,683,95890,45336
zyfz:2024:95890:531d40e0110dd406,四川,2024,历史类,专科批,宁波卫生职业技术学院,专业组102（选科：不限）,454,79329,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,不限,2,456,77632,646,95890,79329
zyfz:2023:95890:f99287699740a875,四川,2023,历史类,专科批,宁波卫生职业技术学院,专业组102（选科：不限）,451,83215,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,不限,1,451,83215,649,95890,83215
zyfz:2025:95891:a150164d759af96e,四川,2025,历史类,专科批,宁波卫生职业技术学院,专业组103（选科：不限）,466,71354,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,103,不限,1,466,71354,644,95891,71354
