source_id,province,year,subject_type,batch,school_name,major_name,score,rank,quota,source_file,group_code,subject_requirement,admitted_count,average_score,average_rank,equivalent_score,school_yxid,raw_rank
zyfz:2025:97104:c77224ff01f7d99b,四川,2025,物理类,本科提前批B段,清华大学,专业组104（选科：化学）,683,186,5,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,104,化学,5,685,145,925,97104,186
zyfz:2025:97142:89e118cdd95bea59,四川,2025,物理类,本科提前批B段,上海海关学院,专业组101（选科：不限）,633,7923,3,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,3,637,6688,797,97142,7923
zyfz:2025:97143:62b85f2afaae7326,四川,2025,物理类,本科提前批B段,上海海关学院,专业组102（选科：不限）,633,7923,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,不限,1,633,7923,797,97143,7923
zyfz:2025:97144:123b16fdd9d81cc3,四川,2025,物理类,本科提前批B段,上海海关学院,专业组103（选科：不限）,665,1276,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,103,不限,1,665,1276,866,97144,1276
zyfz:2025:97138:48b145707122b9ee,四川,2025,物理类,本科提前批B段,北京师范大学（珠海校区）,专业组114（选科：化学）,651,3212,10,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,114,化学,10,654,2681,833,97138,3212
zyfz:2025:97139:bbe0dc5fe105f276,四川,2025,物理类,本科提前批B段,北京师范大学（珠海校区）,专业组123（选科：不限）,620,12979,5,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,123,不限,5,625,10898,775,97139,12979
zyfz:2025:97140:43d5cc3f0f31afcb,四川,2025,物理类,本科提前批B段,北京师范大学（珠海校区）,专业组124（选科：化学）,610,17774,46,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,124,化学,46,616,14761,760,97140,17774
zyfz:2025:97110:d2ab16a9fd24f5ae,四川,2025,物理类,本科提前批B段,华东师范大学,专业组103（选科：化学）,651,3212,16,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,103,化学,16,657,2239,833,97110,3212
zyfz:2025:97111:fb265429da69679a,四川,2025,物理类,本科提前批B段,华东师范大学,专业组105（选科：化学）,616,14761,4,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,105,化学,4,618,13814,769,97111,14761
zyfz:2025:97128:3212b7ad3abb11e3,四川,2025,物理类,本科提前批B段,陕西师范大学,专业组123（选科：不限）,627,10101,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,123,不限,1,627,10101,786,97128,10101
zyfz:2025:97129:d78c2dc33f112043,四川,2025,物理类,本科提前批B段,陕西师范大学,专业组124（选科：化学）,640,5796,4,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,124,化学,4,644,4745,810,97129,5796
zyfz:2025:97130:195b45fe7cedbe0a,四川,2025,物理类,本科提前批B段,陕西师范大学,专业组125（选科：化学）,639,6083,5,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,125,化学,5,639,6083,808,97130,6083
zyfz:2025:97131:442504b2485cedee,四川,2025,物理类,本科提前批B段,陕西师范大学,专业组126（选科：化学）,650,3413,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,126,化学,1,650,3413,830,97131,3413
zyfz:2025:97135:eae8de7db5f7c89f,四川,2025,物理类,本科提前批B段,陕西师范大学,专业组130（选科：化学）,609,18260,14,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,130,化学,14,613,16212,758,97135,18260
zyfz:2025:97136:ba7f8b65ba887a40,四川,2025,物理类,本科提前批B段,陕西师范大学,专业组131（选科：化学）,608,18804,11,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,131,化学,11,610,17774,757,97136,18804
zyfz:2025:97113:691911de524ff6ec,四川,2025,物理类,本科提前批B段,华中师范大学,专业组137（选科：化学）,611,17239,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,137,化学,1,611,17239,761,97113,17239
zyfz:2025:97114:432f6e755b980854,四川,2025,物理类,本科提前批B段,华中师范大学,专业组138（选科：不限）,605,20484,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,138,不限,2,606,19899,753,97114,20484
zyfz:2025:97115:19f275fcd5a9b1f9,四川,2025,物理类,本科提前批B段,华中师范大学,专业组146（选科：不限）,626,10486,16,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,146,不限,16,630,8961,784,97115,10486
zyfz:2025:97116:c235d1e9141823e3,四川,2025,物理类,本科提前批B段,华中师范大学,专业组147（选科：化学）,645,4527,10,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,147,化学,10,647,4102,820,97116,4527
zyfz:2025:97118:e1a26a72e8a1f6c8,四川,2025,物理类,本科提前批B段,华中师范大学,专业组149（选科：化学）,639,6083,11,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,149,化学,11,642,5270,808,97118,6083
zyfz:2025:97155:09811ccba18e5d3f,四川,2025,物理类,本科提前批B段,香港中文大学,专业组102（选科：不限）,643,4979,9,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,不限,10,653,2851,816,97155,4979
zyfz:2025:97105:3e5438cb7cf1bd25,四川,2025,物理类,本科提前批B段,北京师范大学,专业组134（选科：化学）,643,4979,10,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,134,化学,10,647,4102,816,97105,4979
zyfz:2025:97146:83405a7d6ff6ceaf,四川,2025,物理类,本科提前批B段,香港中文大学（深圳）,专业组101（选科：化学）,641,5531,25,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,化学,25,653,2851,812,97146,5531
zyfz:2025:97149:f053b3f095afdd32,四川,2025,物理类,本科提前批B段,香港科技大学（广州）,专业组102（选科：化学）,635,7273,25,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,化学,25,641,5531,800,97149,7273
zyfz:2025:97119:1e3b7dbf8ac3c75b,四川,2025,物理类,本科提前批B段,西南大学,专业组101（选科：不限）,622,12096,39,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,39,627,10101,778,97119,12096
zyfz:2025:97121:7fd27729dc5df7f2,四川,2025,物理类,本科提前批B段,西南大学,专业组103（选科：化学，生物）,626,10486,20,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,103,化学，生物,20,630,8961,784,97121,10486
zyfz:2025:97122:b06dcdc5f29a8b06,四川,2025,物理类,本科提前批B段,西南大学,专业组104（选科：化学）,626,10486,141,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,104,化学,141,633,7923,784,97122,10486
zyfz:2025:97124:4b47f237182f2b00,四川,2025,物理类,本科提前批B段,西南大学,专业组106（选科：不限）,614,15739,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,106,不限,1,614,15739,766,97124,15739
zyfz:2025:97125:4b2187fcefbfb9b9,四川,2025,物理类,本科提前批B段,西南大学,专业组107（选科：化学）,610,17774,5,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,107,化学,5,612,16680,760,97125,17774
zyfz:2025:97107:a562fa96f7b8eeaa,四川,2025,物理类,本科提前批B段,东北师范大学,专业组121（选科：化学）,613,16212,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,121,化学,2,615,15239,764,97107,16212
