source_id,province,year,subject_type,batch,school_name,major_name,score,rank,quota,source_file,group_code,subject_requirement,admitted_count,average_score,average_rank,equivalent_score,school_yxid,raw_rank
zyfz:2025:101682:0ced32053b82c24c,四川,2025,物理类,专科提前批,四川警察学院,专业组101（选科：不限）,560,55395,22,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,22,573,43244,686,101682,55395
zyfz:2024:101682:fc6c0a844e8d9e7c,四川,2024,物理类,专科提前批,四川警察学院,专业组101（选科：不限）,558,62014,22,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,22,566,53929,682,101682,62014
zyfz:2023:101682:6c80cc5fcb1ef177,四川,2023,物理类,专科提前批,四川警察学院,专业组101（选科：不限）,529,75055,22,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,22,537,67260,666,101682,75055
zyfz:2025:101684:26aa30679137c18c,四川,2025,物理类,专科提前批,四川邮电职业技术学院,专业组501（选科：不限）,428,217374,96,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,501,不限,96,448,195955,529,101684,217374
zyfz:2024:101684:64de9b43cf0b863a,四川,2024,物理类,专科提前批,四川邮电职业技术学院,专业组501（选科：不限）,441,216207,138,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,501,不限,138,455,199177,543,101684,216207
zyfz:2023:101684:8433f91ab03ae6df,四川,2023,物理类,专科提前批,四川邮电职业技术学院,专业组501（选科：不限）,335,263854,230,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,501,不限,230,410,214199,476,101684,263854
zyfz:2025:101685:16c8fae0016b17dc,四川,2025,物理类,专科提前批,四川邮电职业技术学院,专业组502（选科：不限）,486,146356,4,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,502,不限,4,492,138221,597,101685,146356
zyfz:2025:101654:bd894f71d921478d,四川,2025,物理类,专科提前批,青岛远洋船员职业学院,专业组501（选科：不限）,480,154721,10,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,501,不限,10,486,146356,589,101654,154721
zyfz:2024:101654:8e845d735c37b610,四川,2024,物理类,专科提前批,青岛远洋船员职业学院,专业组501（选科：不限）,426,231777,10,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,501,不限,10,450,205501,527,101654,231777
zyfz:2023:101654:3d514b8057a9a24e,四川,2023,物理类,专科提前批,青岛远洋船员职业学院,专业组501（选科：不限）,378,240304,5,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,501,不限,5,406,218022,511,101654,240304
